Table No. 19 (c),,,,,,,,
"STATEMENT ON REMITTANCE-WISE OF FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
86,VKL BUILDERS INDIA PVT. LTD.,Bahrain,Kurian Varghese,KOCHI,Construction of buildings carried out on own-account basis or on a fee or contract basis,10.80,0.15,
87,JVLS INFRASTRUCTURE PVT. LTD.,Bahrain,KURIAN VARGHESE,KOCHI,"Construction of buildings carried out on own-account basis or on a fee or
contract basis",40.00,0.55,
88,VKL BUILDERS INDIA PVT. LTD.,Bahrain,KURIAN VARGHESE,KOCHI,Construction of buildings carried out on own-account basis or on a fee or contract basis,180.66,2.50,
89,VKL BUILDERS INDIA PVT. LTD.,Bahrain,KURIAN VARGHESE,KOCHI,Construction of buildings carried out on own-account basis or on a fee or contract basis,83.20,1.15,
90,JVLS CONSTRUCTIONS PVT. LTD.,Bahrain,VASRGHESE KURIAN,KOCHI,"Construction of buildings carried out on own-account basis
or on a fee or",11.00,0.16,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,contract basis,,,
91,COMITASS TECHNOLOGIES PVT LTD,Bahrain,Geeta Tolia,MUMBAI,"Other information technology and computer service
activities n.e.c",0.05,0.00,
92,RIZOBACTER INDIA PRIVATE LIMITED,Argentina,RIZOBACTER ARGENTINA SA,NEW DELHI,Wholesale of cereals & pulses,1.48,0.02,
93,CELIO FUTURE FASHION LTD,Belgium,Celio International SA,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing
accessories",300.00,4.15,
94,TORTUGA WEALTH MANAGERS PVT LTD,Belgium,SECURCAP LTD,MUMBAI,"Other financial service activities, except insurance and pension funding activities, n.e.c.",21.99,0.30,
95,ETRACK CRUSHERS PVT. LTD.,Belgium,PFH SPRL,NEW DELHI,"Wholesale of other machinery, equipment and supplies n.e.c. including computer- controlled machine tools",5.93,0.08,
96,COLRUYT RENEWABLE ENERGY PVT LTD,Belgium,ETABLISSEMENTEN FR.COLRUYT NV,HYDERABAD,Electric power generation using other non conventional sources,0.00,0.00,
97,HMSU ROLLERS (INDIA) PRIVATE LIMITED,Belgium,HANNECARD NV,AHMEDABAD,Manufacture of other rubber products n.e.c.,5.55,0.08,
98,HANSAMUKH SOFTWARE SOLUTIONS PVT LTD,Belgium,ALEGRE IT NV,HYDERABAD,Computer consultancy and computer facilities management activities,0.78,0.01,
99,BOORTMALT INDIA HOLDINGS PRIVATE LIMITED,Belgium,BOORTMALT N.V,NEW DELHI,Growing of other cereals,32.00,0.44,
100,BRIGHT TURQUOISE LIGHT FASHION & ART PVT,Belgium,Greet Deponthiere,PANAJI,"Fashion design related to textiles, wearing apparel, shoes, jewelry, furniture and other fashion goods",1.14,0.02,
101,BRIGHT TURQUOISE LIGHT FASHION & ART PVT,Belgium,Greet Deponthiere,PANAJI,"Fashion design related to textiles, wearing apparel, shoes, jewelry, furniture and other
fashion goods",0.30,0.00,
102,RG PAYROLL HRIS SOLUTIONS PVT LTD,Belgium,STAR GROUP NV,NEW DELHI,"Providing software support and maintenance to the
clients",1.08,0.02,
103,KAP DIAMOND PVT LTD,Belgium,Shah Abhay,MUMBAI,"Working of diamonds and other precious and semi-precious stones including the working of industrial
quality",0.09,0.00,
104,SIXTH SENSE AVIATION AND,Belgium,LIESELOT CARLY,NEW DELHI,Other business,0.03,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,TRAVELS PVT LTD,,,,support service activities n.e.c.,,,
105,THINK & LEARN PRIVATE LIMITED,Belgium,ADVENT MANAGEMENT BELGIUM SA,BANGALORE,"General school education in the second stage of the secondary level (Senior/ Higher secondary) giving,",242.95,3.49,
106,ETRACK CRUSHERS PVT. LTD.,Belgium,PFH SPRL,NEW DELHI,"Wholesale of other machinery, equipment and supplies n.e.c. including computer- controlled machine tools",5.24,0.07,
107,YUVA HEALTHCARE SKILLING PVT. LTD.,Belgium,DHR MARC VAN UYTVEN,NEW DELHI,Hospital activities,1.18,0.02,
108,B9 BEVERAGES PRIVATE LIMITED,Belgium,ADVENT MANAGEMENT BELGIUM S.A.,NEW DELHI,Wholesale of intoxicants like wines and liquors,"1,310.91",18.85,
