Table No.19 (b),Unnamed: 2,Unnamed: 4,Unnamed: 6,Unnamed: 8,Unnamed: 10,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 18
457,MARKETGATE DIMENSIONS RESEARCH INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Advertising,Publicis Groupe Holdings BV,Netherland,"5,33,280.0000",6646.7576,Received in the company
458,Mars IT Technical and Consulting Services Private Limited,MADHYA PRADESH,Indore,Computer consultancy and computer facilities management activities,"MARS IT CORP. DBA MARS
Solutions Group",U.S.A,"5,13,228.1200",6447.4599,Received in the company
459,Mars IT Technical and Consulting Services Private Limited,MADHYA PRADESH,Indore,Computer consultancy and computer facilities management activities,"MARS IT CORP. DBA MARS
Solutions Group",U.S.A,"5,13,228.1200",6447.4599,Received in the company
460,RAMPEX LABS PRIVATE LIMITED,TAMIL NADU,Kanchipuram,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",RANGA N B GORREPATI,U.S.A,"5,16,600.0000",6438.8595,Received in the company
461,B77 TECHSTYLES PRIVATE LIMITED,TAMIL NADU,Chennai,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.",B77 TECHSTYLES PTE LTD,Singapore,"5,12,473.0000",6387.4209,Received in the company
462,CLOUDIFY LABS PRIVATE LIMITED,HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,"Cloudify Labs, Inc",U.S.A,"5,02,489.9500",6312.5609,Received in the company
463,"ABILITY STACK TECHSOLUTIONS
PRIVATE LIMITED",DELHI,South West Delhi,Publishing of operating systems and system software,ABILITY STACK INC,U.S.A,"5,00,000.0000",6284.9601,"Received in the
company"
464,Nexturn India Private Limited,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,Nexturn INC,U.S.A,"4,91,500.0000",6174.499,Received in the company
465,FIRSTSOURCE SOLUTIONS LIMITED,ODISHA,Baleswar,Other information service activities n.e.c.,Dawn R Elmore,U.S.A,"4,87,500.0000",6076.1595,"Received in the
company"
466,ADANI ENTERPRISES LIMITED,TAMIL NADU,Chennai,"Wholesale of solid, liquid and gaseous fuels and related products",Gelt bery Trade and Investment Ltd,Mauritius,"4,85,833.6000",6055.3896,"Received in the
company"
467,"VITAL RADIOLOGY SERVICES PRIVATE
LIMITED",DELHI,South Delhi,Activities of independent diagnostic/pathological laboratories,VITAL HEALTHCARE GROUP UK LIMITED,United Kingdom,"4,64,230.0000",5835.334,"Received in the
company"
