Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
93,CODA SOFTWARE SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Chennai,"Providing software support and maintenance to the
clients",CODA GLOBAL LLC,U.S.A,1.96,0.03,Received in the company,
94,CODA SOFTWARE SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Chennai,Providing software support and maintenance to the clients,CODA GLOBAL LLC,U.S.A,1.96,0.03,Received in the company,
95,CODA SOFTWARE SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Chennai,"Providing software support and maintenance to the
clients",CODA GLOBAL LLC,U.S.A,7.50,0.10,Received in the company,
96,CODA SOFTWARE SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Chennai,Providing software support and maintenance to the clients,Joseph W Pearse,U.S.A,0.15,0.00,Received in the Company,
97,CODA SOFTWARE SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Chennai,"Providing software support and maintenance to the
clients",CODA GLOBAL LLC,U.S.A,6.23,0.08,Received in the company,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,"Name of Foreign
Collaborator",Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
98,CODA SOFTWARE SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Chennai,"Providing software support and maintenance to the
clients",CODA GLOBAL LLC,U.S.A,0.29,0.00,Received in the company,
99,CODA SOFTWARE SOLUTIONS PRIVATE LIMITED,TAMIL NADU,Chennai,"Providing software support and maintenance to the
clients",CODA GLOBAL LLC,U.S.A,1.15,0.02,Received in the company,
100,CODEZEVEN SOFTWARE PRIVATE LIMITED,MAHARASHTRA,Pune,"Providing software support and maintenance to the
clients",Rapid Circle B.V.,Netherland,22.68,0.30,Received in the Company,
101,CODEZEVEN SOFTWARE PRIVATE LIMITED,MAHARASHTRA,Pune,"Providing software support and maintenance to the
clients",Rapid Circle B.V.,Netherland,22.67,0.30,Received in the Company,
102,Cogniscient Business Solutions Private Limited,DELHI,East Delhi,"Providing software support and maintenance to the
clients","TDI Co., Ltd. Japan",Japan,3.40,0.05,Received in the company,
103,Credright Private Limited,KARNATAKA,Bengaluru,"Management
consultancy activities",Gaurav Malhotra,Singapore,1.14,0.02,"Received in
the company",
104,"CSY FISHERIES PRIVATE
LIMITED","ANDHRA
PRADESH",Visakhapatnam,"Wholesale of meat, fish
and eggs",WAHYU HIDAYAT SUMPENO,Singapore,0.09,0.00,"Received in
the company",
105,"CUKZZ FOOD SERVICES
PRIVATE LIMITED",Telangana,Hyderabad,"Restaurants without
bars",Cukzz INC,U.S.A,0.11,0.00,"Received in
the Company",
106,Curatio Health Care I Private Limited,TAMIL NADU,Chennai,"Wholesale of toiletry,
perfumery and cosmetics",Camel Investments Limited,Mauritius,200.00,2.72,Received in the company,
107,Curatio Health Care I Private Limited,TAMIL NADU,Chennai,"Wholesale of toiletry, perfumery and
cosmetics",Camel Investments Limited,Mauritius,30.00,0.41,Received in the company,
108,"Curatio Health Care I
Private Limited",TAMIL NADU,Chennai,"Wholesale of toiletry,
perfumery and",Camel Investments LImited,Mauritius,16.00,0.22,"Received in
the company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,"Name of Foreign
Collaborator",Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
,,,,cosmetics,,,,,,
109,Curatio Health Care I Private Limited,TAMIL NADU,Chennai,"Wholesale of toiletry,
perfumery and cosmetics",Camel Investments Limited,Mauritius,0.25,0.00,Received in the company,
110,CURIOSEARCH LABS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",CURIO SEARCH INC DBA,U.S.A,0.10,0.00,Received in the company,
111,Cvision.AI Analytics Private Limited,DELHI,West Delhi,"Other information technology and computer service
activities n.e.c",Cognitio Analytics LLC,U.S.A,2.01,0.03,Received in the company,
112,Cybersol Technologies Private Limited,MAHARASHTRA,Mumbai,"Providing software support and maintenance to the
clients",OCEANDEEP SINGAPORE PTE . LTD.,Singapore,0.06,0.00,Received in the Company,
113,DAAWAT FOODS LIMITED,DELHI,South Delhi,Rice milling,"United Farmers Investment
Company",Saudi Arabia,4.56,0.06,"Received in
the Company",
114,DAILYNINJA DELIVERY SERVICES PRIVATE LIMITED,MAHARASHTRA,Thane,"Other information technology and computer service
activities n.e.c",SCI Investments V,Mauritius,0.20,0.00,Received in the Company,
115,DAILYNINJA DELIVERY SERVICES PRIVATE LIMITED,MAHARASHTRA,Thane,"Other information technology and computer service
activities n.e.c",SAAMA CAPITAL IV LIMITED,Mauritius,1.08,0.01,Received in the company,
116,"DALOOPA PRIVATE
LIMITED",MAHARASHTRA,Pune,"Other information
service activities n.e.c.",Daloopa Inc,U.S.A,0.00,0.00,"Received in
the Company",
117,DELIGHTFUL GOURMET PRIVATE LIMITED,KARNATAKA,Bengaluru,"Production, processing and preserving of other meat and meat
products n.e.c.",Sojitz Corporation,Japan,225.91,3.03,Received in the Company,
118,"DEMANDPREDICTION
INDIA PRIVATE LIMITED",MAHARASHTRA,Pune,"Other information
technology and",Demandmatrix Inc.,U.S.A,0.06,0.00,"Received in
the Company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,"Name of Foreign
Collaborator",Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
,,,,"computer service
activities n.e.c",,,,,,
119,DEMANDWORK SOFTWARE PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Real Time Skills Technologies INC,U.S.A,0.00,0.00,Received in the Company,
